Region,Year,Nombre de trains programmés,Nombre de trains ayant circulé,Nombre de trains annulés,Nombre de trains en retard à l'arrivée,Taux de régularité,Nombre de trains à l'heure pour un train en retard à l'arrivée
Occitanie,2020,116169.0,113139.0,3030.0,9570.0,1098.565645282135,141.03622785115138
Occitanie,2021,148354.0,143815.0,4539.0,13110.0,1091.0446102613048,126.05478978322186
Occitanie,2022,153460.0,147878.0,5949.0,16187.0,1068.7864195442198,100.83148819556726
Occitanie,2023,149362.0,144106.0,5256.0,17492.0,1056.0053519154621,90.40636654441288
Occitanie,2024,148537.0,143795.0,5112.0,16620.0,972.6042726986434,85.28638425105953
Pays de la Loire,2013,117637.0,114377.0,3260.0,8466.0,1111.3127519725288,159.9201759293199
Pays de la Loire,2014,124417.0,122497.0,1920.0,8521.0,1116.605717012157,165.63961964442743
Pays de la Loire,2015,132184.0,130377.0,1807.0,10416.0,1104.432182358633,146.70680294557985
Pays de la Loire,2016,129651.0,127948.0,1703.0,11457.0,1092.4247451378644,131.33681864397306
Pays de la Loire,2017,141901.0,139554.0,2347.0,11696.0,1100.208517863704,143.37581211884634
Pays de la Loire,2018,137456.0,134762.0,2694.0,10889.0,1103.1287250114765,142.50077351571096
Pays de la Loire,2019,138084.0,134741.0,3343.0,9514.0,1107.6008632217229,163.37776570843306
Pays de la Loire,2020,116543.0,114754.0,1789.0,7930.0,1117.334623972364,172.14016312754802
Pays de la Loire,2021,156677.0,154037.0,2640.0,8767.0,1131.611342192517,210.45642815532668
Pays de la Loire,2022,164687.0,162237.0,2550.0,10535.0,1122.0710955004722,180.76135958742918
Pays de la Loire,2023,159092.0,156091.0,3001.0,11597.0,1111.3761036664432,161.51850651533027
Pays de la Loire,2024,156213.0,153019.0,3317.0,10586.0,1023.4849531665727,156.38600520509374
Provence-Alpes-Côte d'Azur,2013,159757.0,148044.0,11713.0,24999.0,996.1824028725028,60.51132425248765
Provence-Alpes-Côte d'Azur,2014,161863.0,153121.0,8742.0,27990.0,979.9191533140629,54.91322260011345
Provence-Alpes-Côte d'Azur,2015,182262.0,175524.0,6738.0,30706.0,990.0814419907681,57.58433970065676
Provence-Alpes-Côte d'Azur,2016,174492.0,168724.0,5768.0,25499.0,1017.489922758613,67.92729985453818
Provence-Alpes-Côte d'Azur,2017,180439.0,174406.0,6033.0,27891.0,1008.0539602349963,63.95818568796992
Provence-Alpes-Côte d'Azur,2018,165056.0,158073.0,6983.0,21226.0,1040.7533320520117,79.6699264416207
Provence-Alpes-Côte d'Azur,2019,162093.0,156074.0,6019.0,16476.0,1067.9657279843454,102.33973519009136
Provence-Alpes-Côte d'Azur,2020,132213.0,128943.0,3270.0,12045.0,1088.2409300097472,130.27254792492533
Provence-Alpes-Côte d'Azur,2021,159099.0,155046.0,4053.0,12527.0,1103.4964451518626,140.8920477754868
Provence-Alpes-Côte d'Azur,2022,161645.0,158085.0,3840.0,15620.0,1081.0821056909206,114.14971805753531
Provence-Alpes-Côte d'Azur,2023,156891.0,152319.0,4572.0,19411.0,1046.5106050866812,82.9300859515529
Provence-Alpes-Côte d'Azur,2024,166576.0,162263.0,4715.0,17517.0,980.9583420528808,93.07977318985884
Île-de-France,2018,94765.0,93287.0,1478.0,6367.0,1115.6774104274846,170.22680187745252
Île-de-France,2019,94718.0,92934.0,1784.0,5864.0,1118.5743507877414,191.75632802065152
Île-de-France,2020,97857.0,95999.0,1858.0,10158.0,1075.225760043934,109.7625816710059
Île-de-France,2021,120089.0,118244.0,1845.0,8613.0,1112.8185067987963,163.49925748702535
Île-de-France,2022,125156.0,123340.0,1900.0,8798.0,1114.4026077293163,159.5423998644034
Île-de-France,2023,121995.0,119837.0,2158.0,9030.0,1109.0712122427399,160.18267282551952
Île-de-France,2024,115368.0,112979.0,2485.0,9316.0,1007.7747647969812,127.52189809125578
